fecha,ticker,precio,moneda,fuente
2025-12-26,IBB,9630.00,ARS,Yahoo Finance IBB.BA
2025-12-29,IBB,9620.00,ARS,Yahoo Finance IBB.BA
2025-12-30,IBB,9515.00,ARS,Yahoo Finance IBB.BA
2026-01-02,IBB,9640.00,ARS,Yahoo Finance IBB.BA
2026-01-05,IBB,9500.00,ARS,Yahoo Finance IBB.BA
2026-01-06,IBB,9735.00,ARS,Yahoo Finance IBB.BA
2026-01-07,IBB,10070.00,ARS,Yahoo Finance IBB.BA
2026-01-08,IBB,9700.00,ARS,Yahoo Finance IBB.BA
2026-01-09,IBB,9795.00,ARS,Yahoo Finance IBB.BA
2026-01-12,IBB,9700.00,ARS,Yahoo Finance IBB.BA
2026-01-13,IBB,9725.00,ARS,Yahoo Finance IBB.BA
2026-01-14,IBB,9740.00,ARS,Yahoo Finance IBB.BA
2026-01-15,IBB,9590.00,ARS,Yahoo Finance IBB.BA
2026-01-16,IBB,9565.00,ARS,Yahoo Finance IBB.BA
2026-01-19,IBB,9395.00,ARS,Yahoo Finance IBB.BA
2026-01-20,IBB,9550.00,ARS,Yahoo Finance IBB.BA
2026-01-21,IBB,9770.00,ARS,Yahoo Finance IBB.BA
2026-01-22,IBB,9925.00,ARS,Yahoo Finance IBB.BA
2026-01-23,IBB,9865.00,ARS,Yahoo Finance IBB.BA
2026-01-26,IBB,9855.00,ARS,Yahoo Finance IBB.BA
2026-01-27,IBB,9830.00,ARS,Yahoo Finance IBB.BA
2026-01-28,IBB,9710.00,ARS,Yahoo Finance IBB.BA
2026-01-29,IBB,9695.00,ARS,Yahoo Finance IBB.BA
2026-01-30,IBB,9590.00,ARS,Yahoo Finance IBB.BA
2026-02-02,IBB,9600.00,ARS,Yahoo Finance IBB.BA
2026-02-03,IBB,9620.00,ARS,Yahoo Finance IBB.BA
2026-02-04,IBB,9670.00,ARS,Yahoo Finance IBB.BA
2026-02-05,IBB,9490.00,ARS,Yahoo Finance IBB.BA
2026-02-06,IBB,9670.00,ARS,Yahoo Finance IBB.BA
2026-02-09,IBB,9585.00,ARS,Yahoo Finance IBB.BA
2026-02-10,IBB,9480.00,ARS,Yahoo Finance IBB.BA
2026-02-11,IBB,9405.00,ARS,Yahoo Finance IBB.BA
2026-02-12,IBB,9275.00,ARS,Yahoo Finance IBB.BA
2026-02-13,IBB,9450.00,ARS,Yahoo Finance IBB.BA
2026-02-18,IBB,9385.00,ARS,Yahoo Finance IBB.BA
2026-02-19,IBB,9330.00,ARS,Yahoo Finance IBB.BA
2026-02-20,IBB,9285.00,ARS,Yahoo Finance IBB.BA
2026-02-23,IBB,9310.00,ARS,Yahoo Finance IBB.BA
2026-02-24,IBB,9460.00,ARS,Yahoo Finance IBB.BA
2026-02-25,IBB,9580.00,ARS,Yahoo Finance IBB.BA
2026-02-26,IBB,9530.00,ARS,Yahoo Finance IBB.BA
2026-02-27,IBB,9470.00,ARS,Yahoo Finance IBB.BA
2026-03-02,IBB,9460.00,ARS,Yahoo Finance IBB.BA
2026-03-03,IBB,9355.00,ARS,Yahoo Finance IBB.BA
2026-03-04,IBB,9440.00,ARS,Yahoo Finance IBB.BA
2026-03-05,IBB,9185.00,ARS,Yahoo Finance IBB.BA
2026-03-06,IBB,9145.00,ARS,Yahoo Finance IBB.BA
2026-03-09,IBB,9360.00,ARS,Yahoo Finance IBB.BA
2026-03-10,IBB,9310.00,ARS,Yahoo Finance IBB.BA
2026-03-11,IBB,9195.00,ARS,Yahoo Finance IBB.BA
2026-03-12,IBB,8960.00,ARS,Yahoo Finance IBB.BA
2026-03-13,IBB,8970.00,ARS,Yahoo Finance IBB.BA
2026-03-16,IBB,9080.00,ARS,Yahoo Finance IBB.BA
2026-03-17,IBB,9065.00,ARS,Yahoo Finance IBB.BA
2026-03-18,IBB,8895.00,ARS,Yahoo Finance IBB.BA
2026-03-19,IBB,8920.00,ARS,Yahoo Finance IBB.BA
2026-03-20,IBB,8765.00,ARS,Yahoo Finance IBB.BA
2026-03-23,IBB,8850.00,ARS,Yahoo Finance IBB.BA
2026-03-25,IBB,8895.00,ARS,Yahoo Finance IBB.BA
2026-03-26,IBB,8850.00,ARS,Yahoo Finance IBB.BA
2026-03-27,IBB,8745.00,ARS,Yahoo Finance IBB.BA
2026-03-30,IBB,8865.00,ARS,Yahoo Finance IBB.BA
2026-03-31,IBB,9180.00,ARS,Yahoo Finance IBB.BA
2026-04-01,IBB,9400.00,ARS,Yahoo Finance IBB.BA
2026-04-06,IBB,9275.00,ARS,Yahoo Finance IBB.BA
2026-04-07,IBB,9285.00,ARS,Yahoo Finance IBB.BA
2026-04-08,IBB,9420.00,ARS,Yahoo Finance IBB.BA
2026-04-09,IBB,9440.00,ARS,Yahoo Finance IBB.BA
2026-04-10,IBB,9255.00,ARS,Yahoo Finance IBB.BA
2026-04-13,IBB,9370.00,ARS,Yahoo Finance IBB.BA
2026-04-14,IBB,9580.00,ARS,Yahoo Finance IBB.BA
2026-04-15,IBB,9490.00,ARS,Yahoo Finance IBB.BA
2026-04-16,IBB,9335.00,ARS,Yahoo Finance IBB.BA
2026-04-17,IBB,9570.00,ARS,Yahoo Finance IBB.BA
2026-04-20,IBB,9580.00,ARS,Yahoo Finance IBB.BA
2026-04-21,IBB,9455.00,ARS,Yahoo Finance IBB.BA
2026-04-22,IBB,9480.00,ARS,Yahoo Finance IBB.BA
2026-04-23,IBB,9400.00,ARS,Yahoo Finance IBB.BA
2026-04-24,IBB,9410.00,ARS,Yahoo Finance IBB.BA
2026-04-27,IBB,9500.00,ARS,Yahoo Finance IBB.BA
2026-04-28,IBB,9365.00,ARS,Yahoo Finance IBB.BA
